"Link Type","Link Label","Link Url","Link Icon","Sequence","Handler Path","Only On My Module","Handler Class","Module List","Handler","Assigned To","Active","Action Role","For all users","Business Rule","Business Actions No","Created By","Created Time","Modified Time","Description","Unique Identifier"
"LISTVIEWACTION","show message","module=Utilities&action=UtilitiesAjax&file=showMsgWidget&msg=kdkdk&level=warning","","0.00","","0","","Accounts","","admin","1","","1","","bact-0000139","admin","2022-08-24 21:28:57","2022-08-24 21:41:56","","b830de7a53ef16889c72d1f2859f285f47554f78"
"LISTVIEWACTION","show iframe","block://showHTMLBlock:modules/Utilities/showHTMLBlock.php:op=iframe&height=400px&ex=http%3A%2F%2Fcorebos.org%3Fifcrmid%3D%24RECORD%24%26ifmodule%3D%24MODULE%24","","0.00","","0","","Accounts","","admin","1","","1","","bact-0000140","admin","2022-08-24 21:29:25","2022-08-24 21:33:54","","b888766f19f6101fb643aac161648137897ded43"
